"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Thu Nov 03 08:59:26 UTC 2022","Thu Nov 03 09:00:03 UTC 2022","36521","","Awards and nominations for 2022 year TC-003","","Awards and nominations for 2022 year TC-003","Under the heading text ""Momentum leader and highest satisfaction in G2 CPaaS grid"" should be a list of awards","Under the heading text ""Momentum leader and highest satisfaction in G2 CPaaS grid"" should be a list of awards",""
"failed","Thu Nov 03 09:01:58 UTC 2022","Thu Nov 03 09:02:51 UTC 2022","53481","","Redirect to Facebook TC-008","","Redirect to Facebook TC-008","Should redirect to https://www.facebook.com","Should redirect to https://www.facebook.com",""
"passed","Thu Nov 03 08:59:57 UTC 2022","Thu Nov 03 09:00:43 UTC 2022","45539","","Careers TC-002","","Careers TC-002","Video ""Meet the telnyx team"" should be displayed at the top of the page. The ""The Telnyx experience"" should include the following headings: ""Flexible, global team"", ""Modern life, modern space"", ""Helping you grow"", ""We have fun too!""","Video ""Meet the telnyx team"" should be displayed at the top of the page. The ""The Telnyx experience"" should include the following headings: ""Flexible, global team"", ""Modern life, modern space"", ""Helping you grow"", ""We have fun too!""",""
"broken","Thu Nov 03 09:07:04 UTC 2022","Thu Nov 03 09:07:21 UTC 2022","16845","","Redirect to Twitter TC-009","","Redirect to Twitter TC-009","Should redirect to  https://twitter.com","Should redirect to  https://twitter.com",""
"passed","Thu Nov 03 09:00:25 UTC 2022","Thu Nov 03 09:01:11 UTC 2022","45585","","Data And Privacy TC-004","","Data And Privacy TC-004","To the right of the heading ""Data & Privacy"" should be an image","To the right of the heading ""Data & Privacy"" should be an image",""
"passed","Thu Nov 03 09:07:38 UTC 2022","Thu Nov 03 09:08:05 UTC 2022","26226","","Verify API TC-015","","Verify API TC-015","""Get Free Testing Credit"" button should redirect to sign-up page","""Get Free Testing Credit"" button should redirect to sign-up page",""
"passed","Thu Nov 03 08:59:22 UTC 2022","Thu Nov 03 08:59:43 UTC 2022","20895","","About Us TC-001","","About Us TC-001","Under the headline ""Unlocking the power of intelligent connectivity"" should be the video","Under the headline ""Unlocking the power of intelligent connectivity"" should be the video",""
"failed","Thu Nov 03 09:05:46 UTC 2022","Thu Nov 03 09:06:35 UTC 2022","49308","","Redirect to Twitter TC-009","","Redirect to Twitter TC-009","Should redirect to  https://twitter.com","Should redirect to  https://twitter.com",""
"broken","Thu Nov 03 09:05:39 UTC 2022","Thu Nov 03 09:05:46 UTC 2022","6881","","Resource Hub TC-011","","Resource Hub TC-011","Should  availability eight headers and having appropriate images for them","Should  availability eight headers and having appropriate images for them",""
"broken","Thu Nov 03 09:07:24 UTC 2022","Thu Nov 03 09:07:42 UTC 2022","17959","","Release Notes TC-012","","Release Notes TC-012","All checkboxes must be available for selection","All checkboxes must be available for selection",""
"passed","Thu Nov 03 09:05:23 UTC 2022","Thu Nov 03 09:05:37 UTC 2022","14040","","Support Center TC-006","","Support Center TC-006","Under the heading ""Signing up for an account"" should be an example image How the registration form looks like","Under the heading ""Signing up for an account"" should be an example image How the registration form looks like",""
"broken","Thu Nov 03 09:04:52 UTC 2022","Thu Nov 03 09:05:23 UTC 2022","30809","","Redirect to Facebook TC-008","","Redirect to Facebook TC-008","Should redirect to https://www.facebook.com","Should redirect to https://www.facebook.com",""
"passed","Thu Nov 03 09:00:19 UTC 2022","Thu Nov 03 09:00:56 UTC 2022","37650","","Number Lookup TC-013","","Number Lookup TC-013","To the right of the heading ""Know the details behind every number with Phone Number Lookup"" image should be displayed","To the right of the heading ""Know the details behind every number with Phone Number Lookup"" image should be displayed",""
"failed","Thu Nov 03 09:03:41 UTC 2022","Thu Nov 03 09:04:28 UTC 2022","47663","","Redirect to Facebook TC-008","","Redirect to Facebook TC-008","Should redirect to https://www.facebook.com","Should redirect to https://www.facebook.com",""
"failed","Thu Nov 03 09:01:48 UTC 2022","Thu Nov 03 09:02:35 UTC 2022","47866","","Global Numbers TC-014","","Global Numbers TC-014","Above the heading ""Configure your numbers in-depth with Mission Control"" must be present the logo of the following companies: ""Cisco"", ""PHILIPS"", ""aircall"", ""talkdesk"", ""replicant""","Above the heading ""Configure your numbers in-depth with Mission Control"" must be present the logo of the following companies: ""Cisco"", ""PHILIPS"", ""aircall"", ""talkdesk"", ""replicant""",""
"broken","Thu Nov 03 09:02:36 UTC 2022","Thu Nov 03 09:03:08 UTC 2022","32204","","Global Numbers TC-014","","Global Numbers TC-014","Above the heading ""Configure your numbers in-depth with Mission Control"" must be present the logo of the following companies: ""Cisco"", ""PHILIPS"", ""aircall"", ""talkdesk"", ""replicant""","Above the heading ""Configure your numbers in-depth with Mission Control"" must be present the logo of the following companies: ""Cisco"", ""PHILIPS"", ""aircall"", ""talkdesk"", ""replicant""",""
"broken","Thu Nov 03 09:08:17 UTC 2022","Thu Nov 03 09:08:23 UTC 2022","5454","","Resource Hub TC-011","","Resource Hub TC-011","Should  availability eight headers and having appropriate images for them","Should  availability eight headers and having appropriate images for them",""
"passed","Thu Nov 03 09:05:49 UTC 2022","Thu Nov 03 09:06:25 UTC 2022","35899","","Terms and Conditions TC-007","","Terms and Conditions TC-007","""Terms and Conditions"" should include 10 titles","""Terms and Conditions"" should include 10 titles",""
"passed","Thu Nov 03 09:04:35 UTC 2022","Thu Nov 03 09:05:14 UTC 2022","39249","","Report Abuse TC-005","","Report Abuse TC-005","Report Abuse form should have reCAPTCHA validation required","Report Abuse form should have reCAPTCHA validation required",""
"passed","Thu Nov 03 09:06:41 UTC 2022","Thu Nov 03 09:07:11 UTC 2022","30433","","Report Abuse TC-005","","Report Abuse TC-005","Report Abuse form should have reCAPTCHA validation required","Report Abuse form should have reCAPTCHA validation required",""
"broken","Thu Nov 03 09:08:48 UTC 2022","Thu Nov 03 09:08:53 UTC 2022","5000","","Verify API TC-015","","Verify API TC-015","""Get Free Testing Credit"" button should redirect to sign-up page","""Get Free Testing Credit"" button should redirect to sign-up page",""
"passed","Thu Nov 03 09:07:34 UTC 2022","Thu Nov 03 09:08:01 UTC 2022","27636","","Terms and Conditions TC-007","","Terms and Conditions TC-007","""Terms and Conditions"" should include 10 titles","""Terms and Conditions"" should include 10 titles",""
"passed","Thu Nov 03 08:59:41 UTC 2022","Thu Nov 03 09:00:25 UTC 2022","43972","","Careers TC-002","","Careers TC-002","Video ""Meet the telnyx team"" should be displayed at the top of the page. The ""The Telnyx experience"" should include the following headings: ""Flexible, global team"", ""Modern life, modern space"", ""Helping you grow"", ""We have fun too!""","Video ""Meet the telnyx team"" should be displayed at the top of the page. The ""The Telnyx experience"" should include the following headings: ""Flexible, global team"", ""Modern life, modern space"", ""Helping you grow"", ""We have fun too!""",""
"passed","Thu Nov 03 09:00:12 UTC 2022","Thu Nov 03 09:00:57 UTC 2022","45355","","Data And Privacy TC-004","","Data And Privacy TC-004","To the right of the heading ""Data & Privacy"" should be an image","To the right of the heading ""Data & Privacy"" should be an image",""
"broken","Thu Nov 03 09:03:07 UTC 2022","Thu Nov 03 09:03:42 UTC 2022","35483","","Number Lookup TC-013","","Number Lookup TC-013","To the right of the heading ""Know the details behind every number with Phone Number Lookup"" image should be displayed","To the right of the heading ""Know the details behind every number with Phone Number Lookup"" image should be displayed",""
"passed","Thu Nov 03 09:07:17 UTC 2022","Thu Nov 03 09:07:29 UTC 2022","12020","","Support Center TC-006","","Support Center TC-006","Under the heading ""Signing up for an account"" should be an example image How the registration form looks like","Under the heading ""Signing up for an account"" should be an example image How the registration form looks like",""
"passed","Thu Nov 03 09:08:16 UTC 2022","Thu Nov 03 09:08:22 UTC 2022","6290","","Support Center TC-006","","Support Center TC-006","Under the heading ""Signing up for an account"" should be an example image How the registration form looks like","Under the heading ""Signing up for an account"" should be an example image How the registration form looks like",""
"failed","Thu Nov 03 09:02:27 UTC 2022","Thu Nov 03 09:03:10 UTC 2022","42603","","Redirect to LinkedIn TC-010","","Redirect to LinkedIn TC-010","Should redirect to https://www.linkedin.com","Should redirect to https://www.linkedin.com",""
"passed","Thu Nov 03 09:05:56 UTC 2022","Thu Nov 03 09:06:32 UTC 2022","35765","","Verify API TC-015","","Verify API TC-015","""Get Free Testing Credit"" button should redirect to sign-up page","""Get Free Testing Credit"" button should redirect to sign-up page",""
"passed","Thu Nov 03 08:59:34 UTC 2022","Thu Nov 03 09:00:11 UTC 2022","37817","","Data And Privacy TC-004","","Data And Privacy TC-004","To the right of the heading ""Data & Privacy"" should be an image","To the right of the heading ""Data & Privacy"" should be an image",""
"passed","Thu Nov 03 09:08:30 UTC 2022","Thu Nov 03 09:08:44 UTC 2022","14140","","Terms and Conditions TC-007","","Terms and Conditions TC-007","""Terms and Conditions"" should include 10 titles","""Terms and Conditions"" should include 10 titles",""
"failed","Thu Nov 03 09:04:13 UTC 2022","Thu Nov 03 09:05:10 UTC 2022","57195","","Release Notes TC-012","","Release Notes TC-012","All checkboxes must be available for selection","All checkboxes must be available for selection",""
"failed","Thu Nov 03 09:04:09 UTC 2022","Thu Nov 03 09:05:01 UTC 2022","51891","","Redirect to LinkedIn TC-010","","Redirect to LinkedIn TC-010","Should redirect to https://www.linkedin.com","Should redirect to https://www.linkedin.com",""
"passed","Thu Nov 03 08:58:46 UTC 2022","Thu Nov 03 08:59:07 UTC 2022","21035","","About Us TC-001","","About Us TC-001","Under the headline ""Unlocking the power of intelligent connectivity"" should be the video","Under the headline ""Unlocking the power of intelligent connectivity"" should be the video",""
"failed","Thu Nov 03 09:06:08 UTC 2022","Thu Nov 03 09:07:01 UTC 2022","53410","","Release Notes TC-012","","Release Notes TC-012","All checkboxes must be available for selection","All checkboxes must be available for selection",""
"failed","Thu Nov 03 09:03:53 UTC 2022","Thu Nov 03 09:04:28 UTC 2022","35103","","Redirect to Twitter TC-009","","Redirect to Twitter TC-009","Should redirect to  https://twitter.com","Should redirect to  https://twitter.com",""
"broken","Thu Nov 03 09:07:23 UTC 2022","Thu Nov 03 09:07:34 UTC 2022","10728","","Resource Hub TC-011","","Resource Hub TC-011","Should  availability eight headers and having appropriate images for them","Should  availability eight headers and having appropriate images for them",""
"failed","Thu Nov 03 09:02:10 UTC 2022","Thu Nov 03 09:02:58 UTC 2022","47811","","Number Lookup TC-013","","Number Lookup TC-013","To the right of the heading ""Know the details behind every number with Phone Number Lookup"" image should be displayed","To the right of the heading ""Know the details behind every number with Phone Number Lookup"" image should be displayed",""
"passed","Thu Nov 03 08:58:52 UTC 2022","Thu Nov 03 08:59:25 UTC 2022","33235","","Awards and nominations for 2022 year TC-003","","Awards and nominations for 2022 year TC-003","Under the heading text ""Momentum leader and highest satisfaction in G2 CPaaS grid"" should be a list of awards","Under the heading text ""Momentum leader and highest satisfaction in G2 CPaaS grid"" should be a list of awards",""
"passed","Thu Nov 03 08:58:47 UTC 2022","Thu Nov 03 08:59:18 UTC 2022","30665","","Awards and nominations for 2022 year TC-003","","Awards and nominations for 2022 year TC-003","Under the heading text ""Momentum leader and highest satisfaction in G2 CPaaS grid"" should be a list of awards","Under the heading text ""Momentum leader and highest satisfaction in G2 CPaaS grid"" should be a list of awards",""
